fileNBO,subSeed,nCycNBO,initSeed,nCycSet,nPICcycles,Budget_Full_Shrt,timePrep,slurmJobID,InBigRDS,bigRDSfiles,time,notes,fileBoTorch,optimRepl,nOptIter,hasDirectory,fileOOF,parms
bgNBO737423597.rds,737423597,12,12205,12,1,Full,Thu Feb  9 19:23:28 2023,NA,1,737423597,NA,NA,BoTorchOut737423597_0.rds,0,99,TRUE,optOutFile737423597.txt,nCyclesToRun 12  nEntries 997 174 30  nBreedingProg 997  
bgNBO740154639.rds,740154639,6,60101,6,1,Shrt,Sat Feb  4 13:02:45 2023,8729197,0,,NA,One cycle per year in PIC,BoTorchOut740154639_0.rds,0,99,TRUE,optOutFile740154639.txt,nCyclesToRun 6  nEntries 800 140 24  nBreedingProg 800  
bgNBO76367512.rds,76367512,6,60103,6,1,Shrt,Sat Feb  4 13:03:45 2023,8729199,0,,NA,One cycle per year in PIC,BoTorchOut76367512_0.rds,0,99,TRUE,optOutFile76367512.txt,nCyclesToRun 6  nEntries 800 140 24  nBreedingProg 800  
bgNBO788987539.rds,788987539,6,60207,6,1,Full,Thu Feb  9 12:33:33 2023,NA,1,788987539,NA,NA,BoTorchOut788987539_0.rds,0,99,TRUE,optOutFile788987539.txt,nCyclesToRun 6  nEntries 997 174 30  nBreedingProg 997  
bgNBO797865628.rds,797865628,6,60206,6,1,Full,Thu Feb  9 12:33:13 2023,NA,1,797865628,NA,NA,BoTorchOut797865628_0.rds,0,99,TRUE,optOutFile797865628.txt,nCyclesToRun 6  nEntries 997 174 30  nBreedingProg 997  
bgNBO836468727.rds,836468727,12,12202,12,1,Full,Wed Feb  8 13:54:01 2023,NA,1,836468727,NA,NA,BoTorchOut836468727_0.rds,0,99,TRUE,optOutFile836468727.txt,nCyclesToRun 12  nEntries 997 174 30  nBreedingProg 997  
bgNBO888815265.rds,888815265,12,23451,12,2,Full,Mon Dec 26 21:19:37 2022,8417483,1,888815265,4-05:34:20,Went from 4G to 128G: I looked at what memory was being used on mccouch02 and it seems to go up to 40G or so,BoTorchOut888815265.rds,,99,NA,optOutFile888815265.txt,NA
bgNBO925134189.rds,925134189,12,NA,NA,2,Full,NA,NA,1,925134189,NA,NA,BoTorchOut925134189.rds,,99,NA,optOutFile925134189.txt,NA
bgNBO92833062.rds,92833062,6,6780,6,2,Full,Tue Jan  3 14:49:14 2023,8457251,1,92833062,NA,I messed up 2 previous 6's,BoTorchOut92833062_0.rds,0,99,TRUE,optOutFile92833062.txt,nCyclesToRun 6  nEntries 800 140 24  nBreedingProg 800  
bgNBO928763188.rds,928763188,12,12201,12,1,Full,Wed Feb  8 13:53:24 2023,NA,1,928763188,NA,NA,BoTorchOut928763188_0.rds,0,99,TRUE,optOutFile928763188.txt,nCyclesToRun 12  nEntries 997 174 30  nBreedingProg 997  
bgNBO929014176.rds,929014176,6,60200,6,1,Full,Mon Feb  6 12:22:42 2023,NA,1,929014176,NA,The 121 and 601 series had smaller budgets because of only one PIC cycle per year,BoTorchOut929014176_0.rds,0,99,TRUE,optOutFile929014176.txt,nCyclesToRun 6  nEntries 997 174 30  nBreedingProg 997  
bgNBO939712078.rds,939712078,6,60205,6,1,Full,Thu Feb  9 12:32:15 2023,NA,1,939712078,NA,NA,BoTorchOut939712078_0.rds,0,99,TRUE,optOutFile939712078.txt,nCyclesToRun 6  nEntries 997 174 30  nBreedingProg 997  
bgNBO970854781.rds,970854781,6,42345,6,2,Full,Wed Dec 28 20:03:35 2022,8422281,1,970854781,2-07:22:33,NA,BoTorchOut970854781.rds,,99,NA,optOutFile970854781.txt,NA
