fileNBO,subSeed,nCycNBO,initSeed,nCycSet,timePrep,slurmJobID,status,time,notes,fileBoTorch,optimRepl,nOptIter,hasDirectory,fileOOF,parms
bgNBO745546225.rds,745546225,6,6143,6,Fri Jan 27 08:43:40 2023,NA,NA,NA,NA,BoTorchOut745546225_1.rds,1,499,TRUE,optOutFile745546225.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO785817622.rds,785817622,6,6121,6,Wed Jan 11 20:54:12 2023,8548362,running,NA,785817622 374961676 smlShrtMany,BoTorchOut785817622_0.rds,0,499,TRUE,optOutFile785817622.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO785817622.rds,785817622,6,6121,6,Wed Jan 11 20:54:12 2023,8548362,running,NA,785817622 374961676 smlShrtMany,BoTorchOut785817622_1.rds,1,499,TRUE,optOutFile785817622.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO78853793.rds,78853793,6,6131,6,Fri Jan 13 17:20:55 2023,8588328,running,NA,smlShrtMany,BoTorchOut78853793_0.rds,0,499,TRUE,optOutFile78853793.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO78853793.rds,78853793,6,6131,6,Fri Jan 13 17:20:55 2023,8588328,running,NA,smlShrtMany,BoTorchOut78853793_1.rds,1,499,TRUE,optOutFile78853793.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO838634996.rds,838634996,6,6130,6,Fri Jan 13 17:19:02 2023,8588326,running,NA,smlShrtMany,BoTorchOut838634996_0.rds,0,499,TRUE,optOutFile838634996.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO838634996.rds,838634996,6,6130,6,Fri Jan 13 17:19:02 2023,8588326,running,NA,smlShrtMany,BoTorchOut838634996_1.rds,1,499,TRUE,optOutFile838634996.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO933926427.rds,933926427,6,6120,6,Tue Jan  3 10:14:15 2023,8456032,running,NA,Has directory in output,BoTorchOut933926427_0.rds,0,499,TRUE,optOutFile933926427.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO933926427.rds,933926427,6,6120,6,Tue Jan  3 10:14:15 2023,8456032,running,NA,Has directory in output,BoTorchOut933926427_1.rds,1,499,TRUE,optOutFile933926427.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO949098925.rds,949098925,6,6142,6,Fri Jan 27 08:10:13 2023,NA,NA,NA,NA,BoTorchOut949098925_0.rds,0,499,TRUE,optOutFile949098925.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
bgNBO949098925.rds,949098925,6,6142,6,Fri Jan 27 08:10:13 2023,NA,NA,NA,NA,BoTorchOut949098925_1.rds,1,499,TRUE,optOutFile949098925.txt,nCyclesToRun 6  nEntries 100 40 16  nBreedingProg 100  
